iter	Logloss
0	0.6864845355
1	0.6831568475
2	0.6785841744
3	0.673753498
4	0.671080691
5	0.6695037464
6	0.6678021953
7	0.6670065845
8	0.6648465613
9	0.6626970407
10	0.6608809431
11	0.6592862157
12	0.6576980471
13	0.6550111512
14	0.6539667463
15	0.6535020244
16	0.651450617
17	0.6508635496
18	0.6497266078
19	0.6483034418
